ts,time,strategy,cash,qty,mark,mark_source,cost_basis,realized_pnl,unrealized_pnl,fees_cum,nav,exposure_pct,peak_nav,drawdown_pct,data_status,schema
1789946173,2026-09-20 23:16 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,81126.99,quote_mid,71002.51,0.0,454.19,70.93,100454.19,71.13,100542.77,-0.088,ok,1
1789946173,2026-09-20 23:16 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,81126.99,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789946173,2026-09-20 23:16 UTC,funding_z168_limit_entry_v1,100000.0,0.0,81126.99,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789950309,2026-09-21 00:25 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,81713.05,quote_mid,71002.51,0.0,970.4,70.93,100970.4,71.28,100970.4,0.0,ok,1
1789950309,2026-09-21 00:25 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,81713.05,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789950309,2026-09-21 00:25 UTC,funding_z168_limit_entry_v1,100000.0,0.0,81713.05,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789953419,2026-09-21 01:16 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,81740.9,quote_mid,71002.51,0.0,994.93,70.93,100994.93,71.29,100994.93,0.0,ok,1
1789953419,2026-09-21 01:16 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,81740.9,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789953419,2026-09-21 01:16 UTC,funding_z168_limit_entry_v1,100000.0,0.0,81740.9,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789957060,2026-09-21 02:17 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,81341.64,quote_mid,71002.51,0.0,643.26,70.93,100643.26,71.19,100994.93,-0.348,ok,1
1789957060,2026-09-21 02:17 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,81341.64,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789957060,2026-09-21 02:17 UTC,funding_z168_limit_entry_v1,100000.0,0.0,81341.64,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789960715,2026-09-21 03:18 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,81387.83,quote_mid,71002.51,0.0,683.94,70.93,100683.94,71.2,100994.93,-0.308,ok,1
1789960715,2026-09-21 03:18 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,81387.83,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789960715,2026-09-21 03:18 UTC,funding_z168_limit_entry_v1,100000.0,0.0,81387.83,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789964312,2026-09-21 04:18 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,81331.42,quote_mid,71002.51,0.0,634.26,70.93,100634.26,71.19,100994.93,-0.357,ok,1
1789964312,2026-09-21 04:18 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,81331.42,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789964312,2026-09-21 04:18 UTC,funding_z168_limit_entry_v1,100000.0,0.0,81331.42,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789967860,2026-09-21 05:17 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,81352.01,quote_mid,71002.51,0.0,652.4,70.93,100652.4,71.19,100994.93,-0.339,ok,1
1789967860,2026-09-21 05:17 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,81352.01,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789967860,2026-09-21 05:17 UTC,funding_z168_limit_entry_v1,100000.0,0.0,81352.01,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789971937,2026-09-21 06:25 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,81779.96,quote_mid,71002.51,0.0,1029.33,70.93,101029.33,71.3,101029.33,0.0,ok,1
1789971937,2026-09-21 06:25 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,81779.96,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789971937,2026-09-21 06:25 UTC,funding_z168_limit_entry_v1,100000.0,0.0,81779.96,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789975178,2026-09-21 07:19 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,81567.24,quote_mid,71002.51,0.0,841.96,70.93,100841.96,71.24,101029.33,-0.185,ok,1
1789975178,2026-09-21 07:19 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,81567.24,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789975178,2026-09-21 07:19 UTC,funding_z168_limit_entry_v1,100000.0,0.0,81567.24,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789978800,2026-09-21 08:20 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,81950.01,quote_mid,71002.51,0.0,1179.11,70.93,101179.11,71.34,101179.11,0.0,ok,1
1789978800,2026-09-21 08:20 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,81950.01,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789978800,2026-09-21 08:20 UTC,funding_z168_limit_entry_v1,100000.0,0.0,81950.01,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789982352,2026-09-21 09:19 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,83988.05,quote_mid,71002.51,0.0,2974.22,70.93,102974.22,71.84,102974.22,0.0,ok,1
1789982352,2026-09-21 09:19 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,83988.05,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789982352,2026-09-21 09:19 UTC,funding_z168_limit_entry_v1,100000.0,0.0,83988.05,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789985946,2026-09-21 10:19 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,84560.2,quote_mid,71002.51,0.0,3478.16,70.93,103478.16,71.98,103478.16,0.0,ok,1
1789985946,2026-09-21 10:19 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,84560.2,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789985946,2026-09-21 10:19 UTC,funding_z168_limit_entry_v1,100000.0,0.0,84560.2,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789989503,2026-09-21 11:18 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,84598.51,quote_mid,71002.51,0.0,3511.92,70.93,103511.92,71.99,103511.92,0.0,ok,1
1789989503,2026-09-21 11:18 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,84598.51,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789989503,2026-09-21 11:18 UTC,funding_z168_limit_entry_v1,100000.0,0.0,84598.51,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789993311,2026-09-21 12:21 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,85213.17,quote_mid,71002.51,0.0,4053.31,70.93,104053.31,72.13,104053.31,0.0,ok,1
1789993311,2026-09-21 12:21 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,85213.17,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789993311,2026-09-21 12:21 UTC,funding_z168_limit_entry_v1,100000.0,0.0,85213.17,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
